"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 13 16:49:22 GMT 2024","Sat Jul 13 16:49:27 GMT 2024","4724","chromium","example.spec.js","","","","invalid email check on register page",""
"failed","Sat Jul 13 16:49:57 GMT 2024","Sat Jul 13 16:50:06 GMT 2024","8519","firefox","example.spec.js","","","","search by id",""
"passed","Sat Jul 13 16:48:46 GMT 2024","Sat Jul 13 16:48:48 GMT 2024","2446","chromium","example.spec.js","","","","has title",""
"passed","Sat Jul 13 16:49:27 GMT 2024","Sat Jul 13 16:49:31 GMT 2024","3275","firefox","example.spec.js","","","","has title",""
"passed","Sat Jul 13 16:50:38 GMT 2024","Sat Jul 13 16:50:43 GMT 2024","4829","webkit","example.spec.js","","","","has title",""
"passed","Sat Jul 13 16:51:21 GMT 2024","Sat Jul 13 16:51:26 GMT 2024","4853","webkit","example.spec.js","","","","invalid email check on register page",""
"passed","Sat Jul 13 16:48:52 GMT 2024","Sat Jul 13 16:48:56 GMT 2024","4030","chromium","example.spec.js","","","","search by id",""
"passed","Sat Jul 13 16:50:44 GMT 2024","Sat Jul 13 16:50:48 GMT 2024","4202","webkit","example.spec.js","","","","help link",""
"failed","Sat Jul 13 16:51:11 GMT 2024","Sat Jul 13 16:51:20 GMT 2024","8925","webkit","example.spec.js","","","","forum boards",""
"passed","Sat Jul 13 16:50:29 GMT 2024","Sat Jul 13 16:50:33 GMT 2024","3987","firefox","example.spec.js","","","","forum boards",""
"passed","Sat Jul 13 16:50:48 GMT 2024","Sat Jul 13 16:50:53 GMT 2024","4311","webkit","example.spec.js","","","","search by id",""
"passed","Sat Jul 13 16:48:49 GMT 2024","Sat Jul 13 16:48:52 GMT 2024","2718","chromium","example.spec.js","","","","help link",""
"passed","Sat Jul 13 16:50:34 GMT 2024","Sat Jul 13 16:50:37 GMT 2024","3663","firefox","example.spec.js","","","","invalid email check on register page",""
"failed","Sat Jul 13 16:49:13 GMT 2024","Sat Jul 13 16:49:22 GMT 2024","8873","chromium","example.spec.js","","","","forum boards",""
"passed","Sat Jul 13 16:49:31 GMT 2024","Sat Jul 13 16:49:36 GMT 2024","4430","firefox","example.spec.js","","","","help link",""
