"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 14 14:34:42 GMT 2024","Sun Jul 14 14:34:47 GMT 2024","4506","webkit","example.spec.js","","","","help link",""
"passed","Sun Jul 14 14:34:38 GMT 2024","Sun Jul 14 14:34:42 GMT 2024","3976","webkit","example.spec.js","","","","has title",""
"passed","Sun Jul 14 14:32:46 GMT 2024","Sun Jul 14 14:32:49 GMT 2024","2831","chromium","example.spec.js","","","","help link",""
"passed","Sun Jul 14 14:34:47 GMT 2024","Sun Jul 14 14:34:51 GMT 2024","4121","webkit","example.spec.js","","","","search by id",""
"passed","Sun Jul 14 14:35:20 GMT 2024","Sun Jul 14 14:35:27 GMT 2024","6323","webkit","example.spec.js","","","","login with invalid login and password",""
"passed","Sun Jul 14 14:33:49 GMT 2024","Sun Jul 14 14:33:55 GMT 2024","5451","firefox","example.spec.js","","","","search by id",""
"failed","Sun Jul 14 14:33:12 GMT 2024","Sun Jul 14 14:33:21 GMT 2024","8682","chromium","example.spec.js","","","","forum boards",""
"passed","Sun Jul 14 14:32:49 GMT 2024","Sun Jul 14 14:32:53 GMT 2024","4085","chromium","example.spec.js","","","","search by id",""
"passed","Sun Jul 14 14:32:43 GMT 2024","Sun Jul 14 14:32:46 GMT 2024","2644","chromium","example.spec.js","","","","has title",""
"passed","Sun Jul 14 14:33:22 GMT 2024","Sun Jul 14 14:33:27 GMT 2024","5661","chromium","example.spec.js","","","","login with invalid login and password",""
"passed","Sun Jul 14 14:33:32 GMT 2024","Sun Jul 14 14:33:36 GMT 2024","4567","firefox","example.spec.js","","","","has title",""
"passed","Sun Jul 14 14:34:27 GMT 2024","Sun Jul 14 14:34:33 GMT 2024","6041","firefox","example.spec.js","","","","login with invalid login and password",""
"failed","Sun Jul 14 14:34:16 GMT 2024","Sun Jul 14 14:34:26 GMT 2024","9333","firefox","example.spec.js","","","","forum boards",""
"passed","Sun Jul 14 14:33:37 GMT 2024","Sun Jul 14 14:33:40 GMT 2024","3330","firefox","example.spec.js","","","","help link",""
"passed","Sun Jul 14 14:33:27 GMT 2024","Sun Jul 14 14:33:31 GMT 2024","3903","chromium","example.spec.js","","","","invalid email check on register page",""
"passed","Sun Jul 14 14:34:33 GMT 2024","Sun Jul 14 14:34:37 GMT 2024","3471","firefox","example.spec.js","","","","invalid email check on register page",""
"passed","Sun Jul 14 14:35:27 GMT 2024","Sun Jul 14 14:35:31 GMT 2024","4359","webkit","example.spec.js","","","","invalid email check on register page",""
"failed","Sun Jul 14 14:35:11 GMT 2024","Sun Jul 14 14:35:20 GMT 2024","9192","webkit","example.spec.js","","","","forum boards",""
