"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 14 15:35:12 GMT 2024","Sun Jul 14 15:35:16 GMT 2024","3869","chromium","example.spec.js","","","","help link",""
"passed","Sun Jul 14 15:36:47 GMT 2024","Sun Jul 14 15:36:52 GMT 2024","4379","webkit","example.spec.js","","","","has title",""
"passed","Sun Jul 14 15:37:31 GMT 2024","Sun Jul 14 15:37:38 GMT 2024","6603","webkit","example.spec.js","","","","login with invalid login and password",""
"passed","Sun Jul 14 15:36:28 GMT 2024","Sun Jul 14 15:36:31 GMT 2024","3079","firefox","example.spec.js","","","","search by id",""
"passed","Sun Jul 14 15:36:35 GMT 2024","Sun Jul 14 15:36:42 GMT 2024","7293","firefox","example.spec.js","","","","login with invalid login and password",""
"passed","Sun Jul 14 15:36:53 GMT 2024","Sun Jul 14 15:36:57 GMT 2024","4039","webkit","example.spec.js","","","","help link",""
"passed","Sun Jul 14 15:35:36 GMT 2024","Sun Jul 14 15:35:39 GMT 2024","3814","chromium","example.spec.js","","","","search by id",""
"passed","Sun Jul 14 15:36:24 GMT 2024","Sun Jul 14 15:36:28 GMT 2024","4663","firefox","example.spec.js","","","","help link",""
"failed","Sun Jul 14 15:37:21 GMT 2024","Sun Jul 14 15:37:30 GMT 2024","9063","webkit","example.spec.js","","","","forum boards",""
"passed","Sun Jul 14 15:36:42 GMT 2024","Sun Jul 14 15:36:46 GMT 2024","3964","firefox","example.spec.js","","","","invalid email check on register page",""
"passed","Sun Jul 14 15:36:07 GMT 2024","Sun Jul 14 15:36:13 GMT 2024","5948","chromium","example.spec.js","","","","login with invalid login and password",""
"failed","Sun Jul 14 15:35:58 GMT 2024","Sun Jul 14 15:36:07 GMT 2024","8825","chromium","example.spec.js","","","","forum boards",""
"passed","Sun Jul 14 15:36:18 GMT 2024","Sun Jul 14 15:36:23 GMT 2024","5294","firefox","example.spec.js","","","","has title",""
"passed","Sun Jul 14 15:36:31 GMT 2024","Sun Jul 14 15:36:35 GMT 2024","3744","firefox","example.spec.js","","","","forum boards",""
"passed","Sun Jul 14 15:35:08 GMT 2024","Sun Jul 14 15:35:12 GMT 2024","4237","chromium","example.spec.js","","","","has title",""
"passed","Sun Jul 14 15:37:38 GMT 2024","Sun Jul 14 15:37:42 GMT 2024","4680","webkit","example.spec.js","","","","invalid email check on register page",""
"passed","Sun Jul 14 15:36:13 GMT 2024","Sun Jul 14 15:36:17 GMT 2024","4068","chromium","example.spec.js","","","","invalid email check on register page",""
"passed","Sun Jul 14 15:36:57 GMT 2024","Sun Jul 14 15:37:01 GMT 2024","4529","webkit","example.spec.js","","","","search by id",""
