"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 15 20:44:45 GMT 2024","Mon Jul 15 20:44:50 GMT 2024","4842","webkit","example.spec.js","","","","invalid email check on register page",""
"passed","Mon Jul 15 20:43:00 GMT 2024","Mon Jul 15 20:43:05 GMT 2024","4197","chromium","example.spec.js","","","","invalid email check on register page",""
"passed","Mon Jul 15 20:43:47 GMT 2024","Mon Jul 15 20:43:53 GMT 2024","5789","firefox","example.spec.js","","","","login with invalid login and password",""
"passed","Mon Jul 15 20:44:04 GMT 2024","Mon Jul 15 20:44:08 GMT 2024","3713","webkit","example.spec.js","","","","help link",""
"passed","Mon Jul 15 20:42:17 GMT 2024","Mon Jul 15 20:42:21 GMT 2024","4014","chromium","example.spec.js","","","","has title",""
"passed","Mon Jul 15 20:44:38 GMT 2024","Mon Jul 15 20:44:45 GMT 2024","6879","webkit","example.spec.js","","","","login with invalid login and password",""
"passed","Mon Jul 15 20:43:59 GMT 2024","Mon Jul 15 20:44:03 GMT 2024","4029","webkit","example.spec.js","","","","has title",""
"failed","Mon Jul 15 20:42:45 GMT 2024","Mon Jul 15 20:42:54 GMT 2024","8784","chromium","example.spec.js","","","","search by id",""
"passed","Mon Jul 15 20:42:21 GMT 2024","Mon Jul 15 20:42:25 GMT 2024","3556","chromium","example.spec.js","","","","help link",""
"passed","Mon Jul 15 20:42:54 GMT 2024","Mon Jul 15 20:43:00 GMT 2024","6126","chromium","example.spec.js","","","","login with invalid login and password",""
"passed","Mon Jul 15 20:43:10 GMT 2024","Mon Jul 15 20:43:13 GMT 2024","3564","firefox","example.spec.js","","","","help link",""
"failed","Mon Jul 15 20:43:36 GMT 2024","Mon Jul 15 20:43:46 GMT 2024","9782","firefox","example.spec.js","","","","search by id",""
"passed","Mon Jul 15 20:43:05 GMT 2024","Mon Jul 15 20:43:10 GMT 2024","4546","firefox","example.spec.js","","","","has title",""
"passed","Mon Jul 15 20:43:53 GMT 2024","Mon Jul 15 20:43:58 GMT 2024","5124","firefox","example.spec.js","","","","invalid email check on register page",""
"failed","Mon Jul 15 20:44:28 GMT 2024","Mon Jul 15 20:44:37 GMT 2024","9035","webkit","example.spec.js","","","","search by id",""
