"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 15 21:50:11 GMT 2024","Mon Jul 15 21:50:17 GMT 2024","5749","firefox","example.spec.js","","","","login with invalid login and password",""
"passed","Mon Jul 15 21:49:48 GMT 2024","Mon Jul 15 21:49:57 GMT 2024","8758","chromium","example.spec.js","","","","search by id",""
"passed","Mon Jul 15 21:50:06 GMT 2024","Mon Jul 15 21:50:11 GMT 2024","4965","firefox","example.spec.js","","","","has title",""
"passed","Mon Jul 15 21:50:50 GMT 2024","Mon Jul 15 21:50:55 GMT 2024","4963","webkit","example.spec.js","","","","invalid email check on register page",""
"passed","Mon Jul 15 21:50:22 GMT 2024","Mon Jul 15 21:50:26 GMT 2024","3864","firefox","example.spec.js","","","","invalid email check on register page",""
"passed","Mon Jul 15 21:50:38 GMT 2024","Mon Jul 15 21:50:44 GMT 2024","6391","webkit","example.spec.js","","","","login with invalid login and password",""
"passed","Mon Jul 15 21:50:55 GMT 2024","Mon Jul 15 21:50:59 GMT 2024","3997","webkit","example.spec.js","","","","help link",""
"passed","Mon Jul 15 21:49:42 GMT 2024","Mon Jul 15 21:49:48 GMT 2024","5924","chromium","example.spec.js","","","","login with invalid login and password",""
"passed","Mon Jul 15 21:50:17 GMT 2024","Mon Jul 15 21:50:22 GMT 2024","4462","firefox","example.spec.js","","","","search by id",""
"passed","Mon Jul 15 21:50:01 GMT 2024","Mon Jul 15 21:50:06 GMT 2024","4724","chromium","example.spec.js","","","","help link",""
"passed","Mon Jul 15 21:49:38 GMT 2024","Mon Jul 15 21:49:42 GMT 2024","4586","chromium","example.spec.js","","","","has title",""
"passed","Mon Jul 15 21:50:44 GMT 2024","Mon Jul 15 21:50:50 GMT 2024","6249","webkit","example.spec.js","","","","search by id",""
"passed","Mon Jul 15 21:50:31 GMT 2024","Mon Jul 15 21:50:37 GMT 2024","5611","webkit","example.spec.js","","","","has title",""
"passed","Mon Jul 15 21:49:57 GMT 2024","Mon Jul 15 21:50:01 GMT 2024","3725","chromium","example.spec.js","","","","invalid email check on register page",""
"passed","Mon Jul 15 21:50:26 GMT 2024","Mon Jul 15 21:50:30 GMT 2024","4479","firefox","example.spec.js","","","","help link",""
