"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jul 15 20:50:33 GMT 2024","Mon Jul 15 20:50:42 GMT 2024","8459","chromium","example.spec.js","","","","search by id",""
"failed","Mon Jul 15 20:50:04 GMT 2024","Mon Jul 15 20:50:08 GMT 2024","3302","chromium","example.spec.js","","","","has title",""
"passed","Mon Jul 15 20:52:54 GMT 2024","Mon Jul 15 20:52:59 GMT 2024","5404","webkit","example.spec.js","","","","login with invalid login and password",""
"passed","Mon Jul 15 20:50:49 GMT 2024","Mon Jul 15 20:50:54 GMT 2024","4598","chromium","example.spec.js","","","","invalid email check on register page",""
"failed","Mon Jul 15 20:51:39 GMT 2024","Mon Jul 15 20:51:49 GMT 2024","10435","firefox","example.spec.js","","","","search by id",""
"passed","Mon Jul 15 20:50:08 GMT 2024","Mon Jul 15 20:50:12 GMT 2024","4130","chromium","example.spec.js","","","","help link",""
"passed","Mon Jul 15 20:51:57 GMT 2024","Mon Jul 15 20:52:02 GMT 2024","5066","firefox","example.spec.js","","","","invalid email check on register page",""
"passed","Mon Jul 15 20:52:59 GMT 2024","Mon Jul 15 20:53:05 GMT 2024","6047","webkit","example.spec.js","","","","invalid email check on register page",""
"passed","Mon Jul 15 20:50:42 GMT 2024","Mon Jul 15 20:50:49 GMT 2024","6560","chromium","example.spec.js","","","","login with invalid login and password",""
"passed","Mon Jul 15 20:52:47 GMT 2024","Mon Jul 15 20:52:54 GMT 2024","6417","webkit","example.spec.js","","","","search by id",""
"failed","Mon Jul 15 20:51:05 GMT 2024","Mon Jul 15 20:51:10 GMT 2024","4607","firefox","example.spec.js","","","","has title",""
"passed","Mon Jul 15 20:52:20 GMT 2024","Mon Jul 15 20:52:25 GMT 2024","4485","webkit","example.spec.js","","","","help link",""
"failed","Mon Jul 15 20:52:15 GMT 2024","Mon Jul 15 20:52:20 GMT 2024","4194","webkit","example.spec.js","","","","has title",""
"passed","Mon Jul 15 20:51:50 GMT 2024","Mon Jul 15 20:51:56 GMT 2024","5805","firefox","example.spec.js","","","","login with invalid login and password",""
"passed","Mon Jul 15 20:51:11 GMT 2024","Mon Jul 15 20:51:16 GMT 2024","4914","firefox","example.spec.js","","","","help link",""
