"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 15 20:45:50 GMT 2024","Mon Jul 15 20:45:57 GMT 2024","6776","chromium","example.spec.js","","","","login with invalid login and password",""
"failed","Mon Jul 15 20:45:40 GMT 2024","Mon Jul 15 20:45:49 GMT 2024","8982","chromium","example.spec.js","","","","search by id",""
"failed","Mon Jul 15 20:45:13 GMT 2024","Mon Jul 15 20:45:16 GMT 2024","3528","chromium","example.spec.js","","","","has title",""
"passed","Mon Jul 15 20:45:17 GMT 2024","Mon Jul 15 20:45:21 GMT 2024","3913","chromium","example.spec.js","","","","help link",""
"passed","Mon Jul 15 20:46:53 GMT 2024","Mon Jul 15 20:46:59 GMT 2024","5818","firefox","example.spec.js","","","","login with invalid login and password",""
"passed","Mon Jul 15 20:46:59 GMT 2024","Mon Jul 15 20:47:03 GMT 2024","3819","firefox","example.spec.js","","","","invalid email check on register page",""
"passed","Mon Jul 15 20:48:15 GMT 2024","Mon Jul 15 20:48:32 GMT 2024","17477","webkit","example.spec.js","","","","invalid email check on register page",""
"passed","Mon Jul 15 20:48:00 GMT 2024","Mon Jul 15 20:48:14 GMT 2024","14465","webkit","example.spec.js","","","","login with invalid login and password",""
"failed","Mon Jul 15 20:47:23 GMT 2024","Mon Jul 15 20:47:26 GMT 2024","3678","webkit","example.spec.js","","","","has title",""
"passed","Mon Jul 15 20:46:15 GMT 2024","Mon Jul 15 20:46:19 GMT 2024","3843","firefox","example.spec.js","","","","help link",""
"failed","Mon Jul 15 20:46:42 GMT 2024","Mon Jul 15 20:46:52 GMT 2024","9572","firefox","example.spec.js","","","","search by id",""
"failed","Mon Jul 15 20:47:50 GMT 2024","Mon Jul 15 20:47:59 GMT 2024","8878","webkit","example.spec.js","","","","search by id",""
"passed","Mon Jul 15 20:45:57 GMT 2024","Mon Jul 15 20:46:01 GMT 2024","4435","chromium","example.spec.js","","","","invalid email check on register page",""
"passed","Mon Jul 15 20:47:27 GMT 2024","Mon Jul 15 20:47:31 GMT 2024","4069","webkit","example.spec.js","","","","help link",""
"failed","Mon Jul 15 20:46:11 GMT 2024","Mon Jul 15 20:46:14 GMT 2024","3128","firefox","example.spec.js","","","","has title",""
