"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 15 20:55:44 GMT 2024","Mon Jul 15 20:55:49 GMT 2024","4712","firefox","example.spec.js","","","","has title",""
"passed","Mon Jul 15 20:57:10 GMT 2024","Mon Jul 15 20:57:16 GMT 2024","6161","webkit","example.spec.js","","","","login with invalid login and password",""
"passed","Mon Jul 15 20:55:40 GMT 2024","Mon Jul 15 20:55:44 GMT 2024","4303","chromium","example.spec.js","","","","invalid email check on register page",""
"failed","Mon Jul 15 20:57:00 GMT 2024","Mon Jul 15 20:57:09 GMT 2024","8631","webkit","example.spec.js","","","","search by id",""
"passed","Mon Jul 15 20:55:33 GMT 2024","Mon Jul 15 20:55:39 GMT 2024","6728","chromium","example.spec.js","","","","login with invalid login and password",""
"passed","Mon Jul 15 20:56:30 GMT 2024","Mon Jul 15 20:56:34 GMT 2024","4590","webkit","example.spec.js","","","","has title",""
"passed","Mon Jul 15 20:57:16 GMT 2024","Mon Jul 15 20:57:21 GMT 2024","4817","webkit","example.spec.js","","","","invalid email check on register page",""
"passed","Mon Jul 15 20:56:25 GMT 2024","Mon Jul 15 20:56:29 GMT 2024","3719","firefox","example.spec.js","","","","invalid email check on register page",""
"passed","Mon Jul 15 20:56:20 GMT 2024","Mon Jul 15 20:56:25 GMT 2024","5296","firefox","example.spec.js","","","","login with invalid login and password",""
"passed","Mon Jul 15 20:56:14 GMT 2024","Mon Jul 15 20:56:19 GMT 2024","5249","firefox","example.spec.js","","","","search by id",""
"passed","Mon Jul 15 20:54:58 GMT 2024","Mon Jul 15 20:55:03 GMT 2024","4841","chromium","example.spec.js","","","","help link",""
"passed","Mon Jul 15 20:56:35 GMT 2024","Mon Jul 15 20:56:40 GMT 2024","4812","webkit","example.spec.js","","","","help link",""
"passed","Mon Jul 15 20:55:49 GMT 2024","Mon Jul 15 20:55:53 GMT 2024","3644","firefox","example.spec.js","","","","help link",""
"passed","Mon Jul 15 20:54:54 GMT 2024","Mon Jul 15 20:54:58 GMT 2024","4109","chromium","example.spec.js","","","","has title",""
"failed","Mon Jul 15 20:55:23 GMT 2024","Mon Jul 15 20:55:32 GMT 2024","9292","chromium","example.spec.js","","","","search by id",""
