"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 14 15:02:58 GMT 2024","Sun Jul 14 15:03:02 GMT 2024","3354","firefox","example.spec.js","","","","search by id",""
"passed","Sun Jul 14 15:04:23 GMT 2024","Sun Jul 14 15:04:30 GMT 2024","6276","webkit","example.spec.js","","","","login with invalid login and password",""
"passed","Sun Jul 14 15:02:43 GMT 2024","Sun Jul 14 15:02:48 GMT 2024","5014","chromium","example.spec.js","","","","invalid email check on register page",""
"passed","Sun Jul 14 15:02:37 GMT 2024","Sun Jul 14 15:02:43 GMT 2024","5828","chromium","example.spec.js","","","","login with invalid login and password",""
"passed","Sun Jul 14 15:03:05 GMT 2024","Sun Jul 14 15:03:12 GMT 2024","7452","firefox","example.spec.js","","","","login with invalid login and password",""
"passed","Sun Jul 14 15:03:12 GMT 2024","Sun Jul 14 15:03:16 GMT 2024","3450","firefox","example.spec.js","","","","invalid email check on register page",""
"passed","Sun Jul 14 15:03:22 GMT 2024","Sun Jul 14 15:03:26 GMT 2024","4194","webkit","example.spec.js","","","","help link",""
"failed","Sun Jul 14 15:04:14 GMT 2024","Sun Jul 14 15:04:23 GMT 2024","8792","webkit","example.spec.js","","","","forum boards",""
"passed","Sun Jul 14 15:02:54 GMT 2024","Sun Jul 14 15:02:58 GMT 2024","4612","firefox","example.spec.js","","","","help link",""
"passed","Sun Jul 14 15:01:54 GMT 2024","Sun Jul 14 15:01:58 GMT 2024","3671","chromium","example.spec.js","","","","has title",""
"failed","Sun Jul 14 15:02:28 GMT 2024","Sun Jul 14 15:02:36 GMT 2024","8531","chromium","example.spec.js","","","","forum boards",""
"passed","Sun Jul 14 15:02:48 GMT 2024","Sun Jul 14 15:02:53 GMT 2024","4733","firefox","example.spec.js","","","","has title",""
"passed","Sun Jul 14 15:02:04 GMT 2024","Sun Jul 14 15:02:08 GMT 2024","4578","chromium","example.spec.js","","","","search by id",""
"passed","Sun Jul 14 15:03:17 GMT 2024","Sun Jul 14 15:03:21 GMT 2024","4386","webkit","example.spec.js","","","","has title",""
"passed","Sun Jul 14 15:04:30 GMT 2024","Sun Jul 14 15:04:35 GMT 2024","4922","webkit","example.spec.js","","","","invalid email check on register page",""
"passed","Sun Jul 14 15:03:02 GMT 2024","Sun Jul 14 15:03:05 GMT 2024","3081","firefox","example.spec.js","","","","forum boards",""
"failed","Sun Jul 14 15:03:45 GMT 2024","Sun Jul 14 15:03:54 GMT 2024","9112","webkit","example.spec.js","","","","search by id",""
"passed","Sun Jul 14 15:01:58 GMT 2024","Sun Jul 14 15:02:04 GMT 2024","5446","chromium","example.spec.js","","","","help link",""
