"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 15 21:01:10 GMT 2024","Mon Jul 15 21:01:15 GMT 2024","5273","firefox","example.spec.js","","","","invalid email check on register page",""
"passed","Mon Jul 15 21:01:15 GMT 2024","Mon Jul 15 21:01:20 GMT 2024","4594","firefox","example.spec.js","","","","help link",""
"passed","Mon Jul 15 21:00:23 GMT 2024","Mon Jul 15 21:00:26 GMT 2024","3367","chromium","example.spec.js","","","","invalid email check on register page",""
"passed","Mon Jul 15 21:02:15 GMT 2024","Mon Jul 15 21:02:19 GMT 2024","4315","webkit","example.spec.js","","","","help link",""
"passed","Mon Jul 15 21:01:21 GMT 2024","Mon Jul 15 21:01:25 GMT 2024","3954","webkit","example.spec.js","","","","has title",""
"passed","Mon Jul 15 20:59:48 GMT 2024","Mon Jul 15 20:59:53 GMT 2024","5914","chromium","example.spec.js","","","","login with invalid login and password",""
"passed","Mon Jul 15 21:01:04 GMT 2024","Mon Jul 15 21:01:09 GMT 2024","5740","firefox","example.spec.js","","","","search by id",""
"failed","Mon Jul 15 21:02:00 GMT 2024","Mon Jul 15 21:02:09 GMT 2024","9255","webkit","example.spec.js","","","","search by id",""
"failed","Mon Jul 15 21:00:13 GMT 2024","Mon Jul 15 21:00:22 GMT 2024","9068","chromium","example.spec.js","","","","search by id",""
"passed","Mon Jul 15 21:00:31 GMT 2024","Mon Jul 15 21:00:34 GMT 2024","3534","firefox","example.spec.js","","","","has title",""
"passed","Mon Jul 15 21:00:26 GMT 2024","Mon Jul 15 21:00:30 GMT 2024","3940","chromium","example.spec.js","","","","help link",""
"passed","Mon Jul 15 21:00:35 GMT 2024","Mon Jul 15 21:00:41 GMT 2024","6852","firefox","example.spec.js","","","","login with invalid login and password",""
"passed","Mon Jul 15 20:59:43 GMT 2024","Mon Jul 15 20:59:47 GMT 2024","3949","chromium","example.spec.js","","","","has title",""
"passed","Mon Jul 15 21:02:10 GMT 2024","Mon Jul 15 21:02:15 GMT 2024","4845","webkit","example.spec.js","","","","invalid email check on register page",""
"passed","Mon Jul 15 21:01:26 GMT 2024","Mon Jul 15 21:01:40 GMT 2024","14226","webkit","example.spec.js","","","","login with invalid login and password",""
