"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jul 14 14:40:20 GMT 2024","Sun Jul 14 14:40:28 GMT 2024","8571","chromium","example.spec.js","","","","forum boards",""
"passed","Sun Jul 14 14:40:46 GMT 2024","Sun Jul 14 14:40:51 GMT 2024","4458","firefox","example.spec.js","","","","help link",""
"passed","Sun Jul 14 14:42:03 GMT 2024","Sun Jul 14 14:42:07 GMT 2024","4145","webkit","example.spec.js","","","","invalid email check on register page",""
"passed","Sun Jul 14 14:40:35 GMT 2024","Sun Jul 14 14:40:40 GMT 2024","4912","chromium","example.spec.js","","","","invalid email check on register page",""
"passed","Sun Jul 14 14:41:06 GMT 2024","Sun Jul 14 14:41:11 GMT 2024","4900","firefox","example.spec.js","","","","invalid email check on register page",""
"passed","Sun Jul 14 14:40:51 GMT 2024","Sun Jul 14 14:40:55 GMT 2024","4594","firefox","example.spec.js","","","","search by id",""
"failed","Sun Jul 14 14:41:47 GMT 2024","Sun Jul 14 14:41:56 GMT 2024","8851","webkit","example.spec.js","","","","forum boards",""
"passed","Sun Jul 14 14:39:57 GMT 2024","Sun Jul 14 14:40:00 GMT 2024","3318","chromium","example.spec.js","","","","search by id",""
"passed","Sun Jul 14 14:40:55 GMT 2024","Sun Jul 14 14:40:59 GMT 2024","3825","firefox","example.spec.js","","","","forum boards",""
"passed","Sun Jul 14 14:41:19 GMT 2024","Sun Jul 14 14:41:23 GMT 2024","3541","webkit","example.spec.js","","","","help link",""
"passed","Sun Jul 14 14:41:12 GMT 2024","Sun Jul 14 14:41:17 GMT 2024","5737","webkit","example.spec.js","","","","has title",""
"passed","Sun Jul 14 14:41:23 GMT 2024","Sun Jul 14 14:41:27 GMT 2024","4514","webkit","example.spec.js","","","","search by id",""
"passed","Sun Jul 14 14:40:29 GMT 2024","Sun Jul 14 14:40:35 GMT 2024","6330","chromium","example.spec.js","","","","login with invalid login and password",""
"passed","Sun Jul 14 14:39:51 GMT 2024","Sun Jul 14 14:39:53 GMT 2024","2430","chromium","example.spec.js","","","","has title",""
"passed","Sun Jul 14 14:40:59 GMT 2024","Sun Jul 14 14:41:06 GMT 2024","6805","firefox","example.spec.js","","","","login with invalid login and password",""
"passed","Sun Jul 14 14:39:53 GMT 2024","Sun Jul 14 14:39:57 GMT 2024","3947","chromium","example.spec.js","","","","help link",""
"passed","Sun Jul 14 14:40:41 GMT 2024","Sun Jul 14 14:40:46 GMT 2024","4829","firefox","example.spec.js","","","","has title",""
"passed","Sun Jul 14 14:41:57 GMT 2024","Sun Jul 14 14:42:03 GMT 2024","6072","webkit","example.spec.js","","","","login with invalid login and password",""
