"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 15 21:22:51 GMT 2024","Mon Jul 15 21:22:56 GMT 2024","4544","chromium","example.spec.js","","","","invalid email check on register page",""
"passed","Mon Jul 15 21:24:02 GMT 2024","Mon Jul 15 21:24:06 GMT 2024","4559","webkit","example.spec.js","","","","search by id",""
"passed","Mon Jul 15 21:23:23 GMT 2024","Mon Jul 15 21:23:28 GMT 2024","4902","firefox","example.spec.js","","","","help link",""
"passed","Mon Jul 15 21:23:00 GMT 2024","Mon Jul 15 21:23:05 GMT 2024","4975","firefox","example.spec.js","","","","has title",""
"passed","Mon Jul 15 21:22:16 GMT 2024","Mon Jul 15 21:22:22 GMT 2024","6038","chromium","example.spec.js","","","","login with invalid login and password",""
"passed","Mon Jul 15 21:22:12 GMT 2024","Mon Jul 15 21:22:16 GMT 2024","3856","chromium","example.spec.js","","","","has title",""
"passed","Mon Jul 15 21:23:34 GMT 2024","Mon Jul 15 21:23:41 GMT 2024","6545","webkit","example.spec.js","","","","login with invalid login and password",""
"passed","Mon Jul 15 21:24:12 GMT 2024","Mon Jul 15 21:24:16 GMT 2024","4342","webkit","example.spec.js","","","","help link",""
"passed","Mon Jul 15 21:23:17 GMT 2024","Mon Jul 15 21:23:23 GMT 2024","6029","firefox","example.spec.js","","","","invalid email check on register page",""
"passed","Mon Jul 15 21:23:05 GMT 2024","Mon Jul 15 21:23:12 GMT 2024","6852","firefox","example.spec.js","","","","login with invalid login and password",""
"passed","Mon Jul 15 21:22:56 GMT 2024","Mon Jul 15 21:23:00 GMT 2024","3987","chromium","example.spec.js","","","","help link",""
"passed","Mon Jul 15 21:23:12 GMT 2024","Mon Jul 15 21:23:17 GMT 2024","4572","firefox","example.spec.js","","","","search by id",""
"failed","Mon Jul 15 21:22:42 GMT 2024","Mon Jul 15 21:22:50 GMT 2024","8396","chromium","example.spec.js","","","","search by id",""
"passed","Mon Jul 15 21:24:06 GMT 2024","Mon Jul 15 21:24:12 GMT 2024","5331","webkit","example.spec.js","","","","invalid email check on register page",""
"passed","Mon Jul 15 21:23:29 GMT 2024","Mon Jul 15 21:23:33 GMT 2024","4186","webkit","example.spec.js","","","","has title",""
