"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 15 20:19:54 GMT 2024","Mon Jul 15 20:19:58 GMT 2024","4087","webkit","example.spec.js","","","","has title",""
"passed","Mon Jul 15 20:18:49 GMT 2024","Mon Jul 15 20:18:53 GMT 2024","4255","chromium","example.spec.js","","","","help link",""
"passed","Mon Jul 15 20:20:37 GMT 2024","Mon Jul 15 20:20:55 GMT 2024","17827","webkit","example.spec.js","","","","invalid email check on register page",""
"passed","Mon Jul 15 20:19:29 GMT 2024","Mon Jul 15 20:19:34 GMT 2024","4743","firefox","example.spec.js","","","","has title",""
"passed","Mon Jul 15 20:19:59 GMT 2024","Mon Jul 15 20:20:02 GMT 2024","3455","webkit","example.spec.js","","","","help link",""
"passed","Mon Jul 15 20:19:20 GMT 2024","Mon Jul 15 20:19:25 GMT 2024","5108","chromium","example.spec.js","","","","login with invalid login and password",""
"passed","Mon Jul 15 20:19:26 GMT 2024","Mon Jul 15 20:19:29 GMT 2024","3202","chromium","example.spec.js","","","","invalid email check on register page",""
"passed","Mon Jul 15 20:19:49 GMT 2024","Mon Jul 15 20:19:53 GMT 2024","3938","firefox","example.spec.js","","","","invalid email check on register page",""
"failed","Mon Jul 15 20:19:12 GMT 2024","Mon Jul 15 20:19:20 GMT 2024","7587","chromium","example.spec.js","","","","search by id",""
"passed","Mon Jul 15 20:18:44 GMT 2024","Mon Jul 15 20:18:48 GMT 2024","4397","chromium","example.spec.js","","","","has title",""
"passed","Mon Jul 15 20:19:42 GMT 2024","Mon Jul 15 20:19:49 GMT 2024","6757","firefox","example.spec.js","","","","login with invalid login and password",""
"passed","Mon Jul 15 20:19:38 GMT 2024","Mon Jul 15 20:19:42 GMT 2024","4216","firefox","example.spec.js","","","","search by id",""
"passed","Mon Jul 15 20:20:31 GMT 2024","Mon Jul 15 20:20:37 GMT 2024","5636","webkit","example.spec.js","","","","login with invalid login and password",""
"failed","Mon Jul 15 20:20:22 GMT 2024","Mon Jul 15 20:20:31 GMT 2024","9024","webkit","example.spec.js","","","","search by id",""
"passed","Mon Jul 15 20:19:34 GMT 2024","Mon Jul 15 20:19:38 GMT 2024","3651","firefox","example.spec.js","","","","help link",""
