"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 13 17:01:17 GMT 2024","Sat Jul 13 17:01:21 GMT 2024","4166","firefox","example.spec.js","","","","search by id",""
"passed","Sat Jul 13 17:00:24 GMT 2024","Sat Jul 13 17:00:28 GMT 2024","4037","chromium","example.spec.js","","","","has title",""
"failed","Sat Jul 13 17:01:42 GMT 2024","Sat Jul 13 17:01:52 GMT 2024","10138","firefox","example.spec.js","","","","forum boards",""
"passed","Sat Jul 13 17:02:09 GMT 2024","Sat Jul 13 17:02:14 GMT 2024","4880","webkit","example.spec.js","","","","search by id",""
"passed","Sat Jul 13 17:02:00 GMT 2024","Sat Jul 13 17:02:05 GMT 2024","4184","webkit","example.spec.js","","","","has title",""
"passed","Sat Jul 13 17:02:05 GMT 2024","Sat Jul 13 17:02:09 GMT 2024","3936","webkit","example.spec.js","","","","help link",""
"passed","Sat Jul 13 17:01:04 GMT 2024","Sat Jul 13 17:01:07 GMT 2024","3488","chromium","example.spec.js","","","","invalid email check on register page",""
"failed","Sat Jul 13 17:00:56 GMT 2024","Sat Jul 13 17:01:03 GMT 2024","7859","chromium","example.spec.js","","","","forum boards",""
"passed","Sat Jul 13 17:01:13 GMT 2024","Sat Jul 13 17:01:17 GMT 2024","3607","firefox","example.spec.js","","","","help link",""
"passed","Sat Jul 13 17:00:32 GMT 2024","Sat Jul 13 17:00:37 GMT 2024","4691","chromium","example.spec.js","","","","search by id",""
"passed","Sat Jul 13 17:01:53 GMT 2024","Sat Jul 13 17:01:59 GMT 2024","5996","firefox","example.spec.js","","","","invalid email check on register page",""
"passed","Sat Jul 13 17:01:08 GMT 2024","Sat Jul 13 17:01:13 GMT 2024","4660","firefox","example.spec.js","","","","has title",""
"failed","Sat Jul 13 17:02:34 GMT 2024","Sat Jul 13 17:02:43 GMT 2024","8929","webkit","example.spec.js","","","","forum boards",""
"passed","Sat Jul 13 17:02:44 GMT 2024","Sat Jul 13 17:02:49 GMT 2024","5287","webkit","example.spec.js","","","","invalid email check on register page",""
"passed","Sat Jul 13 17:00:28 GMT 2024","Sat Jul 13 17:00:32 GMT 2024","4049","chromium","example.spec.js","","","","help link",""
