"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 15 21:07:30 GMT 2024","Mon Jul 15 21:07:35 GMT 2024","4973","chromium","example.spec.js","","","","login with invalid login and password",""
"passed","Mon Jul 15 21:09:40 GMT 2024","Mon Jul 15 21:09:47 GMT 2024","6517","webkit","example.spec.js","","","","login with invalid login and password",""
"failed","Mon Jul 15 21:08:02 GMT 2024","Mon Jul 15 21:08:14 GMT 2024","12412","chromium","example.spec.js","","","","search by id",""
"passed","Mon Jul 15 21:09:24 GMT 2024","Mon Jul 15 21:09:29 GMT 2024","5603","firefox","example.spec.js","","","","invalid email check on register page",""
"passed","Mon Jul 15 21:08:19 GMT 2024","Mon Jul 15 21:08:23 GMT 2024","4093","chromium","example.spec.js","","","","help link",""
"passed","Mon Jul 15 21:08:15 GMT 2024","Mon Jul 15 21:08:19 GMT 2024","4228","chromium","example.spec.js","","","","invalid email check on register page",""
"passed","Mon Jul 15 21:08:24 GMT 2024","Mon Jul 15 21:08:29 GMT 2024","4843","firefox","example.spec.js","","","","has title",""
"passed","Mon Jul 15 21:09:36 GMT 2024","Mon Jul 15 21:09:40 GMT 2024","4203","webkit","example.spec.js","","","","has title",""
"passed","Mon Jul 15 21:08:29 GMT 2024","Mon Jul 15 21:08:35 GMT 2024","6001","firefox","example.spec.js","","","","login with invalid login and password",""
"passed","Mon Jul 15 21:10:37 GMT 2024","Mon Jul 15 21:10:42 GMT 2024","4958","webkit","example.spec.js","","","","invalid email check on register page",""
"failed","Mon Jul 15 21:10:25 GMT 2024","Mon Jul 15 21:10:37 GMT 2024","12004","webkit","example.spec.js","","","","search by id",""
"failed","Mon Jul 15 21:09:10 GMT 2024","Mon Jul 15 21:09:22 GMT 2024","12753","firefox","example.spec.js","","","","search by id",""
"passed","Mon Jul 15 21:09:30 GMT 2024","Mon Jul 15 21:09:35 GMT 2024","4955","firefox","example.spec.js","","","","help link",""
"passed","Mon Jul 15 21:10:42 GMT 2024","Mon Jul 15 21:10:47 GMT 2024","4228","webkit","example.spec.js","","","","help link",""
"passed","Mon Jul 15 21:07:25 GMT 2024","Mon Jul 15 21:07:29 GMT 2024","3929","chromium","example.spec.js","","","","has title",""
