"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 15 20:39:50 GMT 2024","Mon Jul 15 20:39:54 GMT 2024","3726","firefox","example.spec.js","","","","invalid email check on register page",""
"passed","Mon Jul 15 20:38:23 GMT 2024","Mon Jul 15 20:38:26 GMT 2024","3485","chromium","example.spec.js","","","","has title",""
"passed","Mon Jul 15 20:40:11 GMT 2024","Mon Jul 15 20:40:17 GMT 2024","5249","webkit","example.spec.js","","","","search by id",""
"passed","Mon Jul 15 20:39:04 GMT 2024","Mon Jul 15 20:39:08 GMT 2024","4033","chromium","example.spec.js","","","","invalid email check on register page",""
"passed","Mon Jul 15 20:38:26 GMT 2024","Mon Jul 15 20:38:30 GMT 2024","3788","chromium","example.spec.js","","","","help link",""
"passed","Mon Jul 15 20:39:39 GMT 2024","Mon Jul 15 20:39:44 GMT 2024","5321","firefox","example.spec.js","","","","search by id",""
"passed","Mon Jul 15 20:38:59 GMT 2024","Mon Jul 15 20:39:04 GMT 2024","5719","chromium","example.spec.js","","","","login with invalid login and password",""
"failed","Mon Jul 15 20:38:49 GMT 2024","Mon Jul 15 20:38:58 GMT 2024","9031","chromium","example.spec.js","","","","search by id",""
"passed","Mon Jul 15 20:39:09 GMT 2024","Mon Jul 15 20:39:13 GMT 2024","4343","firefox","example.spec.js","","","","has title",""
"passed","Mon Jul 15 20:40:24 GMT 2024","Mon Jul 15 20:40:29 GMT 2024","5059","webkit","example.spec.js","","","","invalid email check on register page",""
"passed","Mon Jul 15 20:39:45 GMT 2024","Mon Jul 15 20:39:50 GMT 2024","5284","firefox","example.spec.js","","","","login with invalid login and password",""
"passed","Mon Jul 15 20:40:00 GMT 2024","Mon Jul 15 20:40:11 GMT 2024","11775","webkit","example.spec.js","","","","help link",""
"passed","Mon Jul 15 20:39:14 GMT 2024","Mon Jul 15 20:39:17 GMT 2024","3789","firefox","example.spec.js","","","","help link",""
"passed","Mon Jul 15 20:39:55 GMT 2024","Mon Jul 15 20:39:59 GMT 2024","4233","webkit","example.spec.js","","","","has title",""
"passed","Mon Jul 15 20:40:17 GMT 2024","Mon Jul 15 20:40:24 GMT 2024","7049","webkit","example.spec.js","","","","login with invalid login and password",""
