"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 13 16:34:46 GMT 2024","Sat Jul 13 16:34:51 GMT 2024","5397","chromium","example.spec.js","","","","help link",""
"passed","Sat Jul 13 16:36:55 GMT 2024","Sat Jul 13 16:37:00 GMT 2024","5021","webkit","example.spec.js","","","","search by id",""
"failed","Sat Jul 13 16:37:23 GMT 2024","Sat Jul 13 16:37:32 GMT 2024","9582","webkit","example.spec.js","","","","forum boards",""
"passed","Sat Jul 13 16:37:33 GMT 2024","Sat Jul 13 16:37:39 GMT 2024","5797","webkit","example.spec.js","","","","invalid email check on register page",""
"passed","Sat Jul 13 16:35:51 GMT 2024","Sat Jul 13 16:35:55 GMT 2024","4448","firefox","example.spec.js","","","","help link",""
"passed","Sat Jul 13 16:36:37 GMT 2024","Sat Jul 13 16:36:42 GMT 2024","4232","firefox","example.spec.js","","","","invalid email check on register page",""
"passed","Sat Jul 13 16:36:43 GMT 2024","Sat Jul 13 16:36:49 GMT 2024","6073","webkit","example.spec.js","","","","has title",""
"passed","Sat Jul 13 16:35:45 GMT 2024","Sat Jul 13 16:35:50 GMT 2024","5426","firefox","example.spec.js","","","","has title",""
"passed","Sat Jul 13 16:36:33 GMT 2024","Sat Jul 13 16:36:37 GMT 2024","4439","firefox","example.spec.js","","","","forum boards",""
"passed","Sat Jul 13 16:35:39 GMT 2024","Sat Jul 13 16:35:44 GMT 2024","5235","chromium","example.spec.js","","","","invalid email check on register page",""
"passed","Sat Jul 13 16:35:02 GMT 2024","Sat Jul 13 16:35:08 GMT 2024","5865","chromium","example.spec.js","","","","search by id",""
"passed","Sat Jul 13 16:34:40 GMT 2024","Sat Jul 13 16:34:45 GMT 2024","5237","chromium","example.spec.js","","","","has title",""
"failed","Sat Jul 13 16:36:20 GMT 2024","Sat Jul 13 16:36:31 GMT 2024","11204","firefox","example.spec.js","","","","search by id",""
"failed","Sat Jul 13 16:35:29 GMT 2024","Sat Jul 13 16:35:38 GMT 2024","9076","chromium","example.spec.js","","","","forum boards",""
"passed","Sat Jul 13 16:36:50 GMT 2024","Sat Jul 13 16:36:55 GMT 2024","5392","webkit","example.spec.js","","","","help link",""
