"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 14 14:25:44 GMT 2024","Sun Jul 14 14:25:49 GMT 2024","4310","webkit","example.spec.js","","","","help link",""
"passed","Sun Jul 14 14:24:12 GMT 2024","Sun Jul 14 14:24:15 GMT 2024","3186","firefox","example.spec.js","","","","has title",""
"failed","Sun Jul 14 14:24:42 GMT 2024","Sun Jul 14 14:24:52 GMT 2024","10017","firefox","example.spec.js","","","","search by id",""
"passed","Sun Jul 14 14:25:27 GMT 2024","Sun Jul 14 14:25:33 GMT 2024","5914","firefox","example.spec.js","","","","login with invalid login and password",""
"passed","Sun Jul 14 14:24:15 GMT 2024","Sun Jul 14 14:24:20 GMT 2024","4863","firefox","example.spec.js","","","","help link",""
"passed","Sun Jul 14 14:26:08 GMT 2024","Sun Jul 14 14:26:14 GMT 2024","5848","webkit","example.spec.js","","","","login with invalid login and password",""
"passed","Sun Jul 14 14:25:39 GMT 2024","Sun Jul 14 14:25:43 GMT 2024","4181","webkit","example.spec.js","","","","has title",""
"passed","Sun Jul 14 14:25:33 GMT 2024","Sun Jul 14 14:25:38 GMT 2024","5084","firefox","example.spec.js","","","","invalid email check on register page",""
"passed","Sun Jul 14 14:23:23 GMT 2024","Sun Jul 14 14:23:27 GMT 2024","4306","chromium","example.spec.js","","","","help link",""
"passed","Sun Jul 14 14:26:14 GMT 2024","Sun Jul 14 14:26:18 GMT 2024","4081","webkit","example.spec.js","","","","invalid email check on register page",""
"failed","Sun Jul 14 14:23:52 GMT 2024","Sun Jul 14 14:24:01 GMT 2024","8682","chromium","example.spec.js","","","","forum boards",""
"passed","Sun Jul 14 14:26:04 GMT 2024","Sun Jul 14 14:26:08 GMT 2024","4012","webkit","example.spec.js","","","","forum boards",""
"passed","Sun Jul 14 14:25:58 GMT 2024","Sun Jul 14 14:26:03 GMT 2024","5106","webkit","example.spec.js","","","","search by id",""
"passed","Sun Jul 14 14:23:27 GMT 2024","Sun Jul 14 14:23:32 GMT 2024","4799","chromium","example.spec.js","","","","search by id",""
"passed","Sun Jul 14 14:24:07 GMT 2024","Sun Jul 14 14:24:11 GMT 2024","3989","chromium","example.spec.js","","","","invalid email check on register page",""
"passed","Sun Jul 14 14:23:19 GMT 2024","Sun Jul 14 14:23:23 GMT 2024","4131","chromium","example.spec.js","","","","has title",""
"passed","Sun Jul 14 14:24:01 GMT 2024","Sun Jul 14 14:24:07 GMT 2024","6081","chromium","example.spec.js","","","","login with invalid login and password",""
"failed","Sun Jul 14 14:25:16 GMT 2024","Sun Jul 14 14:25:26 GMT 2024","9493","firefox","example.spec.js","","","","forum boards",""
