"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 15 16:43:05 GMT 2024","Mon Jul 15 16:43:09 GMT 2024","3657","firefox","example.spec.js","","","","invalid email check on register page",""
"passed","Mon Jul 15 16:40:49 GMT 2024","Mon Jul 15 16:40:53 GMT 2024","4565","chromium","example.spec.js","","","","has title",""
"failed","Mon Jul 15 16:41:18 GMT 2024","Mon Jul 15 16:41:27 GMT 2024","9295","chromium","example.spec.js","","","","search by id",""
"failed","Mon Jul 15 16:42:45 GMT 2024","Mon Jul 15 16:42:55 GMT 2024","9707","firefox","example.spec.js","","","","forum boards",""
"passed","Mon Jul 15 16:42:56 GMT 2024","Mon Jul 15 16:43:05 GMT 2024","8411","firefox","example.spec.js","","","","login with invalid login and password",""
"passed","Mon Jul 15 16:42:04 GMT 2024","Mon Jul 15 16:42:08 GMT 2024","4657","chromium","example.spec.js","","","","invalid email check on register page",""
"failed","Mon Jul 15 16:43:40 GMT 2024","Mon Jul 15 16:43:50 GMT 2024","9431","webkit","example.spec.js","","","","search by id",""
"passed","Mon Jul 15 16:42:09 GMT 2024","Mon Jul 15 16:42:13 GMT 2024","4560","firefox","example.spec.js","","","","has title",""
"failed","Mon Jul 15 16:41:48 GMT 2024","Mon Jul 15 16:41:57 GMT 2024","8881","chromium","example.spec.js","","","","forum boards",""
"passed","Mon Jul 15 16:44:22 GMT 2024","Mon Jul 15 16:44:28 GMT 2024","6778","webkit","example.spec.js","","","","login with invalid login and password",""
"passed","Mon Jul 15 16:41:57 GMT 2024","Mon Jul 15 16:42:04 GMT 2024","6296","chromium","example.spec.js","","","","login with invalid login and password",""
"failed","Mon Jul 15 16:44:12 GMT 2024","Mon Jul 15 16:44:21 GMT 2024","9227","webkit","example.spec.js","","","","forum boards",""
"passed","Mon Jul 15 16:42:19 GMT 2024","Mon Jul 15 16:42:24 GMT 2024","5147","firefox","example.spec.js","","","","search by id",""
"passed","Mon Jul 15 16:43:17 GMT 2024","Mon Jul 15 16:43:20 GMT 2024","3360","webkit","example.spec.js","","","","help link",""
"passed","Mon Jul 15 16:40:54 GMT 2024","Mon Jul 15 16:40:58 GMT 2024","4254","chromium","example.spec.js","","","","help link",""
"passed","Mon Jul 15 16:42:14 GMT 2024","Mon Jul 15 16:42:19 GMT 2024","4780","firefox","example.spec.js","","","","help link",""
"passed","Mon Jul 15 16:44:29 GMT 2024","Mon Jul 15 16:44:33 GMT 2024","4834","webkit","example.spec.js","","","","invalid email check on register page",""
"passed","Mon Jul 15 16:43:10 GMT 2024","Mon Jul 15 16:43:16 GMT 2024","5937","webkit","example.spec.js","","","","has title",""
