"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 15 20:59:57 GMT 2024","Mon Jul 15 21:00:01 GMT 2024","4821","webkit","example.spec.js","","","","invalid email check on register page",""
"passed","Mon Jul 15 20:57:54 GMT 2024","Mon Jul 15 20:57:57 GMT 2024","3867","chromium","example.spec.js","","","","has title",""
"passed","Mon Jul 15 20:58:41 GMT 2024","Mon Jul 15 20:58:46 GMT 2024","5185","firefox","example.spec.js","","","","has title",""
"failed","Mon Jul 15 20:59:08 GMT 2024","Mon Jul 15 20:59:18 GMT 2024","9840","firefox","example.spec.js","","","","search by id",""
"passed","Mon Jul 15 20:58:37 GMT 2024","Mon Jul 15 20:58:41 GMT 2024","4189","chromium","example.spec.js","","","","help link",""
"failed","Mon Jul 15 20:58:16 GMT 2024","Mon Jul 15 20:58:25 GMT 2024","8745","chromium","example.spec.js","","","","search by id",""
"passed","Mon Jul 15 20:59:44 GMT 2024","Mon Jul 15 20:59:49 GMT 2024","5896","webkit","example.spec.js","","","","search by id",""
"passed","Mon Jul 15 20:59:32 GMT 2024","Mon Jul 15 20:59:37 GMT 2024","4830","firefox","example.spec.js","","","","help link",""
"passed","Mon Jul 15 20:59:38 GMT 2024","Mon Jul 15 20:59:43 GMT 2024","4802","webkit","example.spec.js","","","","has title",""
"passed","Mon Jul 15 21:00:01 GMT 2024","Mon Jul 15 21:00:06 GMT 2024","4184","webkit","example.spec.js","","","","help link",""
"passed","Mon Jul 15 20:59:19 GMT 2024","Mon Jul 15 20:59:27 GMT 2024","7442","firefox","example.spec.js","","","","login with invalid login and password",""
"passed","Mon Jul 15 20:58:32 GMT 2024","Mon Jul 15 20:58:37 GMT 2024","4504","chromium","example.spec.js","","","","invalid email check on register page",""
"passed","Mon Jul 15 20:59:27 GMT 2024","Mon Jul 15 20:59:32 GMT 2024","5366","firefox","example.spec.js","","","","invalid email check on register page",""
"passed","Mon Jul 15 20:58:26 GMT 2024","Mon Jul 15 20:58:32 GMT 2024","6330","chromium","example.spec.js","","","","login with invalid login and password",""
"passed","Mon Jul 15 20:59:49 GMT 2024","Mon Jul 15 20:59:57 GMT 2024","7181","webkit","example.spec.js","","","","login with invalid login and password",""
